ISO,Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
AUS,Australia,85,81,80,79,79,77,77,77,77,73
BEL,Belgium,75,75,76,77,77,75,75,75,76,73
BGD,Bangladesh,26,27,25,25,26,28,26,26,26,26
BLR,Belarus,31,29,31,32,40,44,44,45,47,41
BRA,Brazil,43,42,43,38,40,37,35,35,38,38
CAN,Canada,84,81,81,83,82,82,81,77,77,74
CHN,China,39,40,36,37,40,41,39,41,42,45
DEU,Germany,79,78,79,81,81,81,80,80,80,80
FRA,France,71,71,69,70,69,70,72,69,69,71
GBR,United Kingdom,74,76,78,81,81,82,80,77,77,78
IND,India,36,36,38,38,40,40,41,41,40,40
RUS,Russian Federation,28,28,27,29,29,29,28,28,30,29
USA,United States,73,73,74,76,74,75,71,69,67,67

