ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AUS,Australia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BEL,Belgium,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BLR,Belarus,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
BRA,Brazil,94.36,96.02,96.65,96.98,96.77,97.09,97.59,98.13,98.53,98.86,99.35,99.33,99.52,99.58,99.65,99.71,99.7,99.8,99.7,99.8
CAN,Canada,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CHN,China,96.93,97.21,97.49,97.75,98.01,98.25,98.48,98.71,98.95,99.19,99.7,99.86,99.97,100,100,100,100,100,100,100
DEU,Germany,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
FRA,France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
GBR,United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
IND,India,59.34,55.8,62.3,64.02,64.4,67.09,67.9,70.13,71.65,75,76.3,67.6,79.9,80.74,83.59,88,89.54,92.46,95.19,97.82
RUS,Russian Federation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,95.5,100,100,100,100
USA,United States,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
