ISO,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
BRA,Brazil,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54,53.7,,52.9,53.5,52.8,52.1,51.9,53.3,53.3,53.9,53.4
CAN,Canada,33.3,,,,33.7,,,33.8,,,33.6,,33.5,33.8,33.2,33.7,32.7,33.3,,
CHL,Chile,52.8,,,51.5,,,47.3,,,47,,46,,45.8,,44.4,,44.4,,
CHN,China,,,42,,,40.9,,,43,,43.7,42.4,42.2,39.7,39.2,38.6,38.5,,,
COD,"Congo, Dem. Rep.",,,,,42.2,,,,,,,,42.1,,,,,,,
DEU,Germany,28.8,30.3,29.9,30,30.4,32.1,31.3,31.3,31.1,30.5,30.2,30.5,30.9,31.1,30.9,31.7,31.9,,,
EGY,"Egypt, Arab Rep.",,,,,31.8,,,,31.1,,30.2,,28.3,,,31.8,,31.5,,
FRA,France,31.1,,,31.4,30.6,29.8,29.7,32.4,33,32.7,33.7,33.3,33.1,32.5,32.3,32.7,31.9,31.6,32.4,
GBR,United Kingdom,38.4,37.3,35.1,35.1,36,34.3,34.6,35.7,34.1,34.3,34.4,33.2,32.3,33.2,34,33.2,34.8,35.1,,
IND,India,,,,,34.4,,,,,35.4,,35.7,,,,,,,,
ITA,Italy,35.3,,,34.9,34.3,33.8,33.7,32.9,33.8,33.8,34.7,35.1,35.2,34.9,34.7,35.4,35.2,35.9,,
KAZ,Kazakhstan,,36,34.8,33.7,31.8,39.8,30.2,30.1,28.5,28.2,28,28,28.2,27.1,27,26.8,27.2,27.5,27.8,
KEN,Kenya,,,,,,46.5,,,,,,,,,,40.8,,,,
LKA,Sri Lanka,,,40.2,,,,39.7,,,36.1,,,38.7,,,,39.3,,,
MEX,Mexico,52.6,,50.1,,50,50.1,48.9,,49.9,,47.2,,48.7,,48.7,,46.3,,45.4,
NGA,Nigeria,,,,40.1,,,,,,43,,,,,,,,,35.1,
NOR,Norway,27.4,,,27.6,31.6,30.6,26.4,27.1,27,26.2,25.7,25.3,25.7,26.4,26.8,27.5,28.5,27,27.6,
PAK,Pakistan,,30.4,,,32.5,32.7,,31.6,,,29.8,30.9,,30.7,,32.6,,,31.6,
PER,Peru,49.1,51.3,53.6,53.1,49.9,50.4,50.3,50,47.5,47,45.5,44.7,44.4,43.9,43.1,43.4,43.6,43.3,42.4,41.5
PHL,Philippines,47.7,,,46.6,,,47.2,,,46.3,,,46.5,,,44.6,,,42.3,
PRY,Paraguay,,54.6,57.3,54.9,52.3,51.4,53,53,50.7,49.1,51,52.3,47.6,47.9,50.7,47.6,47.9,48.5,46,45.7
USA,United States,40.1,40.6,40.4,40.8,40.3,41,41.4,40.8,40.8,40.6,40,40.9,40.9,40.7,41.5,41.2,41.1,41.2,41.4,
ZAF,South Africa,57.8,,,,,64.8,,,63,,63.4,,,,63,,,,,
