Countries,2015,2016,2017,2018,2019,2020
Australia,0.89,0.95,0.86,0.9,0.96,1.11
Bangladesh,8.4,8.86,8.9,5.01,8.9,7.74
Belarus,6.83,12.79,12.85,2.27,4.63,4.83
Belgium,3.85,3.48,2.96,3.05,2.09,2.07
Brazil,3.31,3.92,3.59,0.51,3.11,2.24
Canada,0.52,0.6,0.45,1.83,0.5,0.53
China,1.67,1.74,1.74,4.5,1.86,1.84
France,4.05,3.7,3.12,2.75,2.47,2.71
Germany,1.97,1.71,1.5,1.24,1.05,1.05
India,5.88,9.19,9.98,9.46,9.23,7.94
Russia,8.38,9.24,9.66,9.75,8.83,8.26
UK,1.01,0.94,0.73,1.07,1.08,1.22
USA,1.47,1.32,1.13,0.91,0.86,1.07
